Component ID,Component,Failure Mode,Cause,Effect,Maintenance Strategy,Severity,Occurrence,Detection,RPN
FM1,Gearbox,Gearbox oil leakage,Seal ring damage or unqualified assembly,Reduce the life of worm gear transmission,Visual inspection,7,4,6,168
FM2,Hydraulic cylinder,Hydraulic cylinder leakage,Seal ring damage,Hydraulic system failure,Regular maintenance,9,3,4,108
FM3,Bearing,Insufficient bearing lubrication,Lubrication pipe blockage or insufficient lubricating oil,Bearing temperature rise,Regular maintenance,6,5,3,90
FM4,Hydraulic system,Insufficient clamping force,Hydraulic pipe blockage or leakage,Workpiece loose or falling off,Regular inspection,6,4,5,120
FM5,Gear,Gear wear,Insufficient lubrication,Vibration increase,Regular inspection,5,4,4,80
FM6,Gear,Insufficient gear lubrication,Lubrication pipe blockage,Gear wear or vibration increase,Regular maintenance,5,5,4,100
FM7,Motor,Excessively high motor temperature,Bearing damage or motor fan damage,Motor damage,CNC system alarm,9,3,2,54
FM8,Transmission system,Workpiece axis accuracy decreased,Transmission system failure,Reduce machining accuracy,Regular inspection,8,4,3,96
FM9,Cutting fluid system,Insufficient cutting fluid flow,Pump damage or insufficient cutting fluid,Temperature rise in machining area,CNC system alarm,7,5,3,105
FM10,Bearing,Bearing wear,Insufficient lubrication or impurities in the bearing,Reduce machining accuracy,Regular inspection,6,4,4,96
FM11,Fuselage (wing fuel tank relief valve),Light does not shine when refueling,"Internal circuit failure, Relief vent does not light",Local influence,Replacement parts,4,2,3,24
FM12,Fuel electric switch,Electric switch indicator rod junction leakage oil,Sealing gasket aging,Affects performance,Replacement parts,5,3,2,30
FM13,Fuel gauge,Swing. Jitter. in the instruction swing,Oil indicator internal bridge fault,Damages system functionality,Replacement parts,4,3,3,36
FM14,Switch,Indication abnormal in the conversion switch set to left wing,Internal mechanical failure,Affects performance,Replacement parts,4,3,2,24
FM15,Gas turbine starter,Function failure when not turning the engine on starting,Starter low efficiency,Function failure,Replacement parts,9,2,1,18
FM16,Fuel level controller,Lights are not bright when refueling,Fuel oil controller damage,Local influence,Replacement parts,3,4,5,60
FM17,Cylinder assembly,Air leakage from cylinder assembly,Inadequate stroke of pusher cylinder,O-ring failure,Replace or repair O-rings,4,4,5,80
FM18,Pusher assembly,Wear of pusher fingers,High temperature wears out,Marks on wares,Regular maintenance,2,N/A,N/A,8
FM19,Pusher assembly,Over travel in cylinder arm,Bad control,Dents on bottles,Adjust control parameters,2,3,1,6
FM20,Pusher assembly,Broken bolt in pusher assembly,Misalignment, inappropriate tightening,Over vibration and inappropriate operation,Check and realign,4,N/A,N/A,90
FM21,Pusher assembly,Work loose of bolt of pusher assembly,Inappropriate tightening, excessive temperature,Excessive vibration, undesirable operation,Regular inspection and tightening,5,N/A,N/A,90
FM22,Pusher assembly,Wear of piston of the pusher assembly,Lubrication, wear out,Clearance and play in the assembly,Replace worn parts,4,5,7,140
FM23,Conveyor system,Transfer of hot glass wares from dead plate to silent chain,Lubrication, wear out,Piston ring broken and wear,Enhance maintenance schedule,4,6,6,144
FM24,Pusher assembly,Internal Leakage,Side loading and piston wear, contaminates past rod seal,Loss/reduction of output force,Improve sealing and alignment,5,3,5,75
FM25,Pusher assembly,External Leakage,Seal leakage, piston-cylinder wear,Loss/reduction of output force,Regular seal checks and replacements,4,3,4,48
FM26,Pusher assembly,Damaged rod seals,Excessive side loading,Contaminates entering pusher cylinder between shaft and cylinder,Enhance inspection protocols,5,4,6,120
FM27,Pusher assembly,Spurious position change,Stiction, binding,Loss of output control or incorrect signal transmission,Regular lubrication and checks,3,2,4,24
FM28,Pusher assembly,Jamming, seizure,Excessive loading,Loss of load control,Reduce load and enhance maintenance,3,7,2,42
FM29,Pusher assembly,Aeration,Air drawn past rod seals during actuation,Damaged actuator and loss of seals,Improve air seal design,5,3,5,75
FM30,Pusher assembly,Flange failure,Fracture, material faults,In operation,Strengthen material specifications and checks,4,3,3,36
FM31,Shaft,Bush loose on shaft,Vibration,Loose coupling,Check and secure bushings,5,6,6,180
FM32,Shaft,Damaged set screw of bushing,Overtightening,Bushing failure,Regular torque checks,5,6,6,180
FM33,Machine base,Plate surface uneven,Manufacturing error,Leakage,Ensure manufacturing quality,7,3,6,126
FM34,Pusher assembly,Loose pusher finger,Excessive temperature,Wares un-transferable,Regular temperature checks and component inspections,5,8,3,120
FM35,Valve System,Valve Sticking,Mineral deposits,Reduced fluid flow,Regular cleaning and inspection,4,5,3,60
FM36,Electrical System,Wire Insulation Breakdown,Heat and aging,Short circuit,Regular insulation testing,6,4,5,120
FM37,Cooling System,Radiator Leak,Corrosion or physical damage,Overheating of system,Regular inspection and replacement,5,3,4,60
FM38,Control System,Software Glitch,Software aging or bugs,System shutdown,Regular software updates,7,3,5,105
FM39,Pump System,Impeller Wear,Normal wear and tear,Reduced pump efficiency,Regular replacement,4,6,4,96
FM40,Conveyor Belt,Tearing of belt,Overloading or poor maintenance,Disruption in material handling,Regular load checks and maintenance,5,4,4,80
FM41,Hydraulic Arm,Cylinder Misalignment,Poor installation or wear,Inaccurate arm movement,Realignment and regular checks,6,5,5,150
FM42,Battery System,Battery Failure,Overcharging or deep discharge,Power loss,Regular voltage and load testing,6,4,3,72
